solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t
51,51,No_Bio,2,2050,0.08265,0.29753,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,95.6150722,6.2922720000000005,61.65,24.6728002,92.6150722,3.0,0.411,0.421376508,0,0,0,LC3-(Afm),cement,0.0,0.0,0.0,0.0
52,52,No_Bio,2,2050,0.1492,0.53711,3.12214,0,0,0,0,0,0,0,0,0,0,0,0.08842,0,0,0,0,0,0,0,0,0,0,0,66.3484402,11.186728,14.7,24.6728002,60.3484402,6.0,0.098,0.116575992,0,0,0.391,LC3-(Afm)MEA,cement,2.557544757033248,12.517790281329917,15.075335038363166,5.894455999999998
53,53,No_Bio,2,2050,0.12222,0.43999,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,110.7485422,9.062172,10.05,30.1473902,65.7485422,45.0,0.067,0.082124908,0,0,0.344,LC3-(Afm)CaL,cement,40.697674418604656,23.966540697674418,64.66421511627908,22.244490000000003
54,54,No_Bio,2,2050,0.14311,0.51521,2.46413,0,0,0,0,0,0,0,0,0,0,0,0.06978,0,0,0,0,0,0,0,0,0,0,0,64.77232816000001,10.603852000000002,10.200000000000001,26.23030552,58.772328160000015,6.0,0.068,0.085703528,0,0,0.367,LC3-(Afm)Oxy-MEA,cement,2.7247956403269757,15.992058092643061,18.716853732970037,6.8690853200000035
55,55,No_Bio,2,2050,0.1297,0.46692,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,89.29128256,9.585772000000002,8.4,28.02137032,59.29128256,30.0,0.056,0.072022508,0,0,0.352,LC3-(Afm)Oxy-CaL,cement,25.56818181818182,18.869517386363636,44.43769920454545,15.642070119999998
56,56,No_Bio,2,2050,0.08265,0.29753,0,0,2.39627,0,0,0,0,0,0,0,0,0,0,0,0.18576,0,0,0,0,0,0,0,0,0,2.0062780583002002e6,2.0062137855e6,36.6,24.6728002,2.0062750583002002e6,3.0,0.244,0.253918,0,0,0,LC3-(BMW),cement,0.0,0.0,0.0,0.0
57,57,No_Bio,2,2050,0.16766,0.60359,0,0,3.61637,0,0,0,0,0,0,0,0,0,0,0,0.28034,0,0,0,0,0,0,0,0,0,5.070618910400199e6,3.0276837361999997e6,-38.4,24.6728002,5.070609910400199e6,9.0,-0.256,-0.2358808,0,0,0.5,LC3-(BMW)MEA,cement,4.0,2.0429399013999994e6,2.0429439013999994e6,1.0214719506999997e6
58,58,No_Bio,2,2050,0.13041,0.46947,0,0,2.39627,0,0,0,0,0,0,0,0,0,0,0,0.18576,0,0,0,0,0,0,0,0,0,2.0062997794702e6,2.0062171287e6,-25.650000000000002,31.3199902,2.0062427794702e6,57.0,-0.171,-0.1553508,0,0,0.415,LC3-(BMW)CaL,cement,43.373493975903614,24.073228915502508,67.44672289140613,27.99038999993354
59,59,No_Bio,2,2050,0.15891,0.57209,0,0,2.55742,0,0,0,0,0,0,0,0,0,0,0,0.19825,0,0,0,0,0,0,0,0,0,2.410945353289719e6,2.1411111237e6,1.5,27.13293004,2.410939353289719e6,6.0,0.01,0.029069199999999996,0,0,0.545,LC3-(BMW)Oxy-MEA,cement,1.8348623853211008,247522.56574282516,247524.40060521048,134900.79832983972
60,60,No_Bio,2,2050,0.14648,0.52732,0,0,2.39627,0,0,0,0,0,0,0,0,0,0,0,0.18576,0,0,0,0,0,0,0,0,0,2.00629538382316e6,2.0062182536e6,0.6,28.97987452,2.00626538382316e6,30.0,0.004,0.0215776,0,0,0.532,LC3-(BMW)Oxy-CaL,cement,16.917293233082706,16.494688571385225,33.41198180446793,17.775174319976937
61,64,No_Bio,6,2050,0.13675,0.4923,0,0,0,0,0,0,0.00597,0,0,0,0.29048,0,0,0,0,0,0,0,5.0e-5,0,0,0,0.00593,0,1000.9792303790525,11.58123037905246,2.4,949.998,963.9792303790525,37.0,0.016,0.034491773333333337,0,0,0,(NG)PE,chemical-PE,0.0,0.0,0.0,0.0
62,65,No_Bio,6,2050,0.13937,0.50172,0,0,0,0,0,0,0.00597,0,0,0,0.30438,0,0,0,0,0,0,0,5.0e-5,0,0,0,0.00622,0,999.6606337123859,11.841698156830237,0.3,949.998,962.6606337123859,37.0,0.002,0.02090579,0,0,0.015,(NG)PE-MEA,chemical-PE,0.0,17.3645185185201,17.3645185185201,0.2604677777778015
63,66,No_Bio,6,2050,0.13675,0.4923,0,0,0,0,0,0,0.31332,0,0,0,0,0,0,0,0,0,0,0,0.00261,0,0,0,0,0,1017.3555041865384,30.35750418653835,0.0,949.998,980.3555041865384,37.0,0,0.01641,0,0,0,(H2)PE,chemical-PE,0.0,0.0,0.0,0.0
64,67,No_Bio,6,2050,0.26743,0.96275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.7181,18.720100000000002,0.0,949.998,968.7181,38.0,0,0.0320916,0,0,0,(H2)PE-AEL,chemical-PE,0.0,0.0,0.0,0.0
65,68,No_Bio,6,2050,0.20795,0.74863,0,0,0,0,0,0,0.00597,0,0,0,0,0,0,0,0,0,0,0,5.0e-5,0,0,0,0,0,1001.9526801568303,14.954680156830237,0.0,949.998,964.9526801568303,37.0,0,0.024953999999999997,0,0,0,(EL)PE,chemical-PE,0.0,0.0,0.0,0.0
