solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t,Additional_cc_capex
42,42,Exit_no_CDR,2,2050,0.15355,0.55279,0,0,0,3.24523,0,0,0,0,0,0,0,0,0,0,0,0.11001,0,0,0,0,0,0,0,0,80.88560091942,24.49975,15.6,24.6728002,64.7725502,16.11305071942,0.104,0.1765894235,0,0,0.417,LC3-(Coal)MEA,cement,2.3980815347721824,26.45503597122303,28.85311750599521,12.031750000000002,29.04808326
43,43,Exit_no_CDR,2,2050,0.12103,0.43569,0,0,0,1.81319,0,0,0,0,0,0,0,0,0,0,0,0.06146,0,0,0,0,0,0,0,0,82.59035000884,16.154600000000002,9.75,29.9836902,55.8882902,26.702059808839998,0.065,0.109783431,0,0,0.334,LC3-(Coal)CaL,cement,41.91616766467066,23.94458083832335,65.86074850299401,21.997490000000003,29.04808326
44,44,Exit_no_CDR,2,2050,0.16898,0.60834,0,0,0,2.49947,0,0,0,0,0,0,0,0,0,0,0,0.08473,0,0,0,0,0,0,0,0,80.30826997458,22.41985,12.149999999999999,27.70819576,62.27804576,18.03022421458,0.081,0.1429944155,0,0,0.483,LC3-(Coal)Oxy-MEA,cement,2.070393374741201,24.81831378881987,26.888707163561072,12.987245559999998,29.04808326
45,45,Exit_no_CDR,2,2050,0.14492,0.52169,0,0,0,1.82465,0,0,0,0,0,0,0,0,0,0,0,0.06185,0,0,0,0,0,0,0,0,80.24219322964001,17.87565,9.45,28.89063676,56.21628676,24.02590646964,0.063,0.11084224749999999,0,0,0.414,LC3-(Coal)Oxy-CaL,cement,21.73913043478261,20.834508599033814,42.57363903381642,17.625486559999995,29.04808326
46,46,Exit_no_CDR,2,2050,0.08265,0.29753,0,0,0,0,0,0,0,0,0,0,1.83858,0,0,0,0,0,0,0,0,0,0,0,0.03755,0,105.89610953333333,26.173309333333336,52.04999999999999,24.6728002,102.89610953333333,3.0,0.347,0.37009449,0,0,0,LC3-(NG),cement,0.0,0.0,0.0,0.0,0.0
47,47,Exit_no_CDR,2,2050,0.13866,0.49917,0,0,0,0,0,0,0,0,0,0,2.98562,0,0,0,0,0,0,0,0,0,0,0,0.06098,0,93.34302803698444,42.81340844444444,12.3,24.6728002,79.78620864444444,13.55681939254,0.082,0.12003614333333333,0,0,0.329,LC3-(NG)MEA,cement,3.03951367781155,50.57780884836204,53.61732252617359,17.640099111111113,29.04808326
48,48,Exit_no_CDR,2,2050,0.11606,0.41782,0,0,0,0,0,0,0,0,0,0,1.83858,0,0,0,0,0,0,0,0,0,0,0,0.03755,0,89.81815176199333,28.51200933333333,8.55,29.3031502,66.36515953333334,23.45299222866,0.057,0.08410369000000001,0,0,0.291,LC3-(NG)CaL,cement,41.23711340206186,23.948625429553253,65.18573883161511,18.969049999999996,29.04808326
49,49,Exit_no_CDR,2,2050,0.18584,0.66903,0,0,0,0,0,0,0,0,0,0,2.53951,0,0,0,0,0,0,0,0,0,0,0,0.05187,0,101.72451616068223,41.16914422222222,12.750000000000002,28.67132056,82.59046478222223,19.13405137846,0.085,0.12550062166666667,0,0,0.521,LC3-(NG)Oxy-MEA,cement,1.9193857965451055,36.45749567924931,38.37688147579442,19.994355248888894,29.04808326
50,50,Exit_no_CDR,2,2050,0.15722,0.566,0,0,0,0,0,0,0,0,0,0,1.85387,0,0,0,0,0,0,0,0,0,0,0,0.03787,0,95.89574012536444,31.56275844444444,9.9,29.59372888,71.05648732444445,24.83925280092,0.066,0.09815246833333333,0,0,0.442,LC3-(NG)Oxy-CaL,cement,20.361990950226243,23.326646586224225,43.68863753645047,19.310377791111108,29.04808326
51,51,Exit_no_CDR,2,2050,0.08265,0.29753,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,95.6150722,6.2922720000000005,61.65,24.6728002,92.6150722,3.0,0.411,0.421376508,0,0,0,LC3-(Afm),cement,0.0,0.0,0.0,0.0,0.0
52,52,Exit_no_CDR,2,2050,0.1492,0.53711,3.12214,0,0,0,0,0,0,0,0,0,0,0,0.08842,0,0,0,0,0,0,0,0,0,0,0,65.91732875466,11.186728,14.7,24.6728002,50.5595282,15.35780055466,0.098,0.116575992,0,0,0.391,LC3-(Afm)MEA,cement,2.557544757033248,12.517790281329917,15.075335038363166,5.894455999999998,29.04808326
53,53,Exit_no_CDR,2,2050,0.12222,0.43999,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,76.25210284144,9.062172,10.05,30.1473902,49.259562200000005,26.992540641439998,0.067,0.082124908,0,0,0.344,LC3-(Afm)CaL,cement,40.697674418604656,23.966540697674418,64.66421511627908,22.244490000000003,29.04808326
54,54,Exit_no_CDR,2,2050,0.14311,0.51521,2.46413,0,0,0,0,0,0,0,0,0,0,0,0.06978,0,0,0,0,0,0,0,0,0,0,0,61.694804076420006,10.603852000000002,10.200000000000001,26.23030552,47.03415752000001,14.66064655642,0.068,0.085703528,0,0,0.367,LC3-(Afm)Oxy-MEA,cement,2.7247956403269757,15.992058092643061,18.716853732970037,6.8690853200000035,29.04808326
55,55,Exit_no_CDR,2,2050,0.1297,0.46692,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,68.23206762752,9.585772000000002,8.4,28.02137032,46.00714232,22.22492530752,0.056,0.072022508,0,0,0.352,LC3-(Afm)Oxy-CaL,cement,25.56818181818182,18.869517386363636,44.43769920454545,15.642070119999998,29.04808326
56,56,Exit_no_CDR,2,2050,0.08265,0.29753,0,0,2.39627,0,0,0,0,0,0,0,0,0,0,0,0.18576,0,0,0,0,0,0,0,0,0,88.6343002,24.3615,36.6,24.6728002,85.6343002,3.0,0.244,0.253918,0,0,0,LC3-(BMW),cement,0.0,0.0,0.0,0.0,0.0
57,57,Exit_no_CDR,2,2050,0.16766,0.60359,0,0,3.61637,0,0,0,0,0,0,0,0,0,0,0,0.28034,0,0,0,0,0,0,0,0,0,83.96704183,39.7702,0.0,24.6728002,64.4430002,19.52404163,-0.256,-0.2358808,0,0,0.5,LC3-(BMW)MEA,cement,4.0,30.817400000000006,34.817400000000006,17.408700000000003,29.04808326
